cell	feat	expr_map	expr_ci_lower	expr_ci_upper
22	RALGAPA1P	0	0	14
22	FAM120C	0	0	14
22	RNASEL	4	1	21
22	OFD1	0	0	14
22	EHD3	13	4	35
22	INPP5F	0	0	14
22	VASH1	0	0	14
22	RP11-496N12.9	0	0	14
22	CYP2U1	0	0	14
22	ZMYND8	0	0	14
22	SIN3A	0	0	14
22	PDCD11	4	1	21
22	RAB22A	0	0	14
22	RAPGEF6	0	0	14
22	AGTPBP1	0	0	14
22	UST	0	0	14
22	BRWD1	0	0	14
22	TRO	17	7	41
22	ZNF354C	0	0	14
22	TBCD	0	0	14
22	SNX30	0	0	14
22	ANKRD32	0	0	14
22	CSPP1	0	0	14
22	ELF4	4	1	21
22	ZBTB21	0	0	14
22	TBC1D13	0	0	14
22	C2orf44	0	0	14
22	RP11-18F14.2	0	0	14
22	ZNF230	0	0	14
22	C16orf72	4	1	21
22	ITSN2	4	1	21
22	ATR	0	0	14
22	FASN	0	0	14
22	LIG3	4	1	21
22	MEGF8	8	2	28
22	ANPEP	4	1	21
22	NFAT5	39	22	70
22	FEM1C	0	0	14
22	MPP5	0	0	14
22	GPR155	0	0	14
22	HIRA	0	0	14
22	HPS5	0	0	14
22	C10orf12	0	0	14
22	PHKA1	0	0	14
22	RP11-566E18.3	0	0	14
22	TMEM57	8	2	28
22	RASGRF2	0	0	14
22	GPAM	0	0	14
22	CDCA2	0	0	14
22	DNAJC13	4	1	21
22	KIF14	4	1	21
22	UHRF1BP1	0	0	14
22	ADCY6	4	1	21
22	YEATS2	0	0	14
22	BIRC3	0	0	14
22	PRKCA	30	16	58
22	POLD3	4	1	21
22	SPRY4	8	2	28
22	ULK4	4	1	21
22	SLC7A11	13	4	35
22	CEP170B	0	0	14
22	SMG1	8	2	28
22	ZNF407	4	1	21
22	FAM131B	4	1	21
22	CARD6	0	0	14
22	C1orf112	8	2	28
22	ZNF202	0	0	14
22	KIF16B	4	1	21
22	MAGI3	0	0	14
22	MED23	4	1	21
22	ZNF71	0	0	14
22	FAM129A	0	0	14
22	ARSD	0	0	14
22	GPRIN1	0	0	14
22	ZBTB41	0	0	14
22	ATG14	0	0	14
22	TARBP1	0	0	14
22	USP24	4	1	21
22	ADAMTS3	0	0	14
22	NUP214	0	0	14
22	ZNF25	0	0	14
22	SERTAD2	0	0	14
22	CABIN1	8	2	28
22	LIG4	0	0	14
22	ENDOD1	0	0	14
22	KIAA0753	0	0	14
22	ZNF41	0	0	14
22	NHLRC2	0	0	14
22	NUP205	8	2	28
22	ARIH1	0	0	14
22	GPR107	4	1	21
22	SOGA1	0	0	14
22	CDKN2B	0	0	14
22	APOLD1	0	0	14
22	FBXO45	0	0	14
22	TPCN1	0	0	14
22	HIP1	8	2	28
22	ADAM17	0	0	14
22	ANKRD52	0	0	14
22	ZNF317	0	0	14
22	TSPYL5	0	0	14
22	KDM4A	4	1	21
22	CDON	0	0	14
22	ABCC10	0	0	14
22	TCF20	0	0	14
22	MORC2	0	0	14
22	GPD1L	0	0	14
22	SIRT1	0	0	14
22	KIAA0355	0	0	14
22	PHF13	0	0	14
22	SLC9A5	0	0	14
22	NEK1	0	0	14
22	RHOBTB1	0	0	14
22	USP20	0	0	14
22	DIP2C	0	0	14
22	FAM214A	4	1	21
22	ATP9A	0	0	14
22	KLF9	4	1	21
22	SH2D5	0	0	14
22	MEGF9	0	0	14
22	ADAMTS15	0	0	14
22	TOP3A	0	0	14
22	FMNL2	0	0	14
22	PHLPP1	4	1	21
22	FLRT3	0	0	14
22	NOTCH1	0	0	14
22	ZSWIM6	4	1	21
22	AFAP1	56	35	91
22	LRRC58	8	2	28
22	PRKAB2	0	0	14
22	DOPEY1	0	0	14
22	DMXL1	13	4	35
22	ZNF521	4	1	21
22	DZIP3	4	1	21
22	CLOCK	0	0	14
22	TRIM37	0	0	14
22	FTSJD2	0	0	14
22	CDC5L	0	0	14
22	KIDINS220	4	1	21
22	URB2	0	0	14
