cell	feat	expr_map	expr_ci_lower	expr_ci_upper
38	FOSB	2	1	9
38	DIP2B	18	10	33
38	TPR	22	13	36
38	ITGA2	9	4	20
38	BRCA2	0	0	7
38	SVEP1	0	0	5
38	THSD4	2	1	10
38	THBS1	249	222	279
38	UBR2	2	1	13
38	MYH10	122	102	147
38	MED14	0	0	6
38	ANKRD52	8	4	18
38	AGPS	5	2	15
38	ROCK2	6	3	14
38	CHD8	8	3	20
38	PAPPA	30	19	46
38	COL7A1	0	0	6
38	DIEXF	2	1	10
38	FAM208B	12	6	24
38	KIDINS220	0	0	6
38	KIAA2018	4	2	14
38	VPS13D	4	2	15
38	CBX5	0	0	5
38	SLC7A11	2	1	10
38	CENPF	0	0	6
38	REV3L	0	0	6
38	AFF4	30	19	48
38	IGF2R	0	0	5
38	KIAA1199	267	238	301
38	PTPN14	27	17	42
38	TMOD2	0	0	6
38	ARL10	5	2	15
38	NF1	16	9	30
38	DNAJC13	2	1	9
38	PRPF8	135	113	162
38	SIPA1L3	0	0	6
38	MAN1A2	0	0	7
38	CKAP5	18	11	32
38	TNC	131	109	159
38	PRKDC	0	0	6
38	NUMA1	2	1	12
38	LMTK2	0	0	8
38	AKAP11	0	0	7
38	VCAN	2	1	9
38	C14orf132	0	0	6
38	PIK3CA	0	0	7
38	HERC2	19	11	34
38	IQGAP1	81	65	102
38	TNRC6A	16	9	29
38	PRRC2B	83	66	106
38	MALAT1	12	7	24
38	PHIP	7	3	19
38	KIAA1147	2	1	14
38	FBN2	34	24	48
38	DIP2C	23	14	38
38	USP9X	0	0	6
38	NKTR	0	0	5
38	DOCK7	25	16	41
38	LYST	2	1	11
38	PIEZO1	42	30	60
38	C17orf51	2	1	9
38	LUZP1	0	0	7
38	SSH1	4	2	13
38	FLNA	830	773	874
38	AMOTL1	25	15	42
38	FYCO1	0	0	6
38	STARD9	5	2	15
38	NRIP1	11	5	22
38	ZC3H13	2	1	10
38	ASCC3	21	12	35
38	LRP1	18	10	31
38	RNF169	10	4	24
38	SMARCA5	2	1	9
38	VPS13A	2	1	10
38	FLNB	14	7	27
38	HIVEP2	0	0	7
38	QSER1	0	0	8
38	UBR5	0	0	5
38	PDS5A	7	3	18
38	TEAD1	36	26	51
38	FASN	7	3	19
38	DYNC1H1	46	33	64
38	POLQ	0	0	7
38	USP34	0	0	7
38	PCNX	4	2	13
38	COL5A1	160	135	191
38	SCUBE3	13	7	26
38	SON	26	17	41
38	HIVEP1	0	0	6
38	ZFC3H1	12	6	25
38	NUP98	7	3	18
38	GTF3C4	0	0	6
38	H6PD	7	3	17
38	CREBBP	28	18	44
38	DOPEY1	0	0	7
38	ALMS1	2	1	10
38	USP24	0	0	7
38	FBN1	78	62	99
38	GPR107	6	3	15
38	EGFR	0	0	6
38	KPNA4	0	0	6
38	HELZ2	0	0	7
38	NR4A1	11	5	22
38	SPTBN1	122	102	147
38	ABCA2	2	1	10
38	TLN1	373	333	414
38	FRY	2	1	13
38	AFAP1	47	33	67
38	CBL	0	0	7
38	HEATR5B	5	2	16
38	FLNC	270	238	305
38	FZD4	4	2	15
38	SLC5A3	2	1	10
38	ALPK2	11	5	22
38	NOTCH2	11	5	23
38	PLXNA1	0	0	6
38	SRRM2	62	47	82
38	SLC38A1	4	2	13
38	KIAA1462	60	45	79
38	GTF3C1	43	31	60
38	DSEL	7	3	17
38	MKI67	0	0	5
38	ZKSCAN2	0	0	6
38	RAB3B	9	4	20
38	PRKCA	12	6	25
38	ATP11A	2	1	11
38	CACNA1A	2	1	11
38	SPTAN1	200	172	233
38	CASC5	5	2	15
38	CEP250	17	9	31
15	NUMA1	7	3	19
15	KPNA4	0	0	6
15	HERC2	4	2	14
15	DSEL	2	1	10
15	SLC5A3	0	0	6
15	SPTBN1	70	55	90
15	STARD9	0	0	7
15	GPR107	6	3	15
15	TPR	6	3	16
15	PRKCA	14	7	28
15	QSER1	0	0	8
15	DIP2B	5	2	15
15	SON	22	14	36
15	DOCK7	4	2	13
15	TEAD1	52	39	69
15	FBN1	177	152	207
15	THSD4	2	1	10
15	CACNA1A	2	1	11
15	UBR2	2	1	13
15	KIAA1199	57	44	74
15	SRRM2	30	20	45
15	NF1	9	4	21
15	ASCC3	2	1	10
15	CBL	0	0	7
15	AKAP11	5	2	16
15	FLNC	83	66	105
15	KIAA1147	0	0	8
15	TNRC6A	2	1	10
15	CASC5	0	0	7
15	THBS1	772	725	815
15	ARL10	0	0	7
15	AFF4	7	3	19
15	C14orf132	2	1	9
15	CREBBP	4	2	14
15	IQGAP1	24	16	37
15	PRKDC	4	2	13
15	AFAP1	7	3	18
15	HELZ2	0	0	7
15	COL7A1	0	0	6
15	MKI67	0	0	5
15	FRY	0	0	8
15	GTF3C1	26	17	40
15	RAB3B	4	2	13
15	ITGA2	16	9	29
15	EGFR	15	8	28
15	PLXNA1	4	2	13
15	ALMS1	0	0	6
15	SPTAN1	85	68	109
15	ATP11A	0	0	7
15	BRCA2	0	0	7
15	VCAN	2	1	9
15	FYCO1	38	26	55
15	PHIP	0	0	7
15	FBN2	239	210	272
15	FZD4	0	0	7
15	NR4A1	0	0	6
15	USP34	0	0	7
15	MYH10	26	17	39
15	LUZP1	0	0	7
15	USP9X	0	0	6
15	GTF3C4	0	0	6
15	PCNX	13	7	25
15	FAM208B	4	2	14
15	ZC3H13	0	0	6
15	VPS13D	4	2	15
15	SIPA1L3	2	1	9
15	C17orf51	0	0	6
15	HEATR5B	0	0	7
15	PIK3CA	0	0	7
15	H6PD	37	25	55
15	NOTCH2	0	0	6
15	UBR5	0	0	5
15	NKTR	0	0	5
15	PTPN14	18	10	31
15	COL5A1	343	305	382
15	ROCK2	2	1	8
15	DNAJC13	8	4	18
15	MAN1A2	5	2	15
15	DIP2C	6	3	17
15	AGPS	0	0	7
15	REV3L	0	0	6
15	TLN1	172	145	203
15	ALPK2	9	4	19
15	PDS5A	0	0	7
15	HIVEP1	0	0	6
15	PIEZO1	17	10	30
15	FASN	15	8	29
15	CHD8	24	14	41
15	ANKRD52	10	5	21
15	PAPPA	44	31	62
15	DIEXF	0	0	6
15	HIVEP2	15	8	30
15	KIAA2018	0	0	6
15	LRP1	173	146	205
15	CEP250	12	6	25
15	FLNB	2	1	10
15	SCUBE3	22	14	37
15	LYST	0	0	7
15	VPS13A	0	0	6
15	LMTK2	0	0	8
15	FOSB	4	2	13
15	FLNA	264	233	299
15	CENPF	0	0	6
15	ZKSCAN2	2	1	10
15	TMOD2	0	0	6
15	SVEP1	17	10	29
15	MALAT1	4	2	12
15	SLC7A11	4	2	13
15	PRPF8	16	10	28
15	USP24	2	1	12
15	ZFC3H1	2	1	11
15	NUP98	0	0	7
15	RNF169	2	1	12
15	SMARCA5	0	0	5
15	AMOTL1	15	8	29
15	IGF2R	79	62	100
15	KIAA1462	111	91	137
15	ABCA2	0	0	6
15	DOPEY1	0	0	7
15	POLQ	0	0	7
15	PRRC2B	40	29	57
15	DYNC1H1	52	39	71
15	CBX5	0	0	5
15	CKAP5	7	3	17
15	MED14	6	3	17
15	SLC38A1	2	1	9
15	KIDINS220	2	1	10
15	NRIP1	0	0	6
15	TNC	306	271	344
15	SSH1	2	1	10
18	USP9X	2	1	10
18	VCAN	12	7	24
18	DIEXF	2	1	10
18	AMOTL1	23	13	39
18	PRPF8	40	28	56
18	HEATR5B	10	4	23
18	SLC7A11	2	1	10
18	USP34	0	0	7
18	HELZ2	2	1	11
18	TNRC6A	13	7	26
18	THSD4	9	4	20
18	ITGA2	4	2	13
18	DYNC1H1	39	28	56
18	CHD8	5	2	16
18	KIAA1199	7	4	16
18	GTF3C4	4	2	14
18	TLN1	64	49	86
18	REV3L	0	0	6
18	DNAJC13	2	1	9
18	VPS13A	2	1	10
18	FASN	10	4	22
18	UBR5	0	0	5
18	SLC5A3	2	1	10
18	HERC2	2	1	11
18	FOSB	8	4	19
18	FLNC	41	30	58
18	NKTR	2	1	9
18	MED14	2	1	10
18	FAM208B	0	0	7
18	KIAA1462	55	42	75
18	C17orf51	6	3	16
18	DOPEY1	28	18	46
18	NF1	0	0	6
18	NOTCH2	35	23	52
18	SPTAN1	112	91	138
18	SSH1	0	0	6
18	ROCK2	2	1	8
18	SRRM2	64	49	85
18	UBR2	0	0	8
18	C14orf132	4	2	12
18	DIP2B	0	0	7
18	PLXNA1	9	4	19
18	RNF169	5	2	16
18	CBX5	0	0	5
18	ASCC3	21	12	35
18	TEAD1	8	4	17
18	AGPS	2	1	11
18	PIK3CA	0	0	7
18	LMTK2	0	0	8
18	FLNB	7	3	17
18	PTPN14	9	4	19
18	AKAP11	13	6	27
18	ARL10	2	1	11
18	PRKCA	0	0	7
18	NUP98	2	1	11
18	COL5A1	519	472	562
18	CACNA1A	7	3	18
18	RAB3B	6	3	17
18	FRY	8	3	21
18	SVEP1	2	1	9
18	MAN1A2	12	6	26
18	LRP1	83	65	107
18	ALMS1	7	3	17
18	GTF3C1	6	3	15
18	PRKDC	6	3	17
18	ALPK2	20	12	34
18	KIAA2018	11	6	24
18	ABCA2	9	4	20
18	SPTBN1	76	61	96
18	CKAP5	11	5	23
18	MALAT1	4	2	12
18	PRRC2B	21	13	34
18	AFAP1	17	9	31
18	IGF2R	29	19	43
18	PHIP	2	1	12
18	BRCA2	10	4	23
18	ZKSCAN2	16	9	30
18	SCUBE3	20	12	34
18	SMARCA5	0	0	5
18	NRIP1	0	0	6
18	SON	64	49	85
18	FZD4	19	11	35
18	DOCK7	18	10	32
18	USP24	10	4	23
18	DSEL	0	0	6
18	LUZP1	7	3	19
18	VPS13D	47	33	67
18	FBN2	231	203	264
18	CEP250	2	1	11
18	EGFR	2	1	10
18	STARD9	7	3	18
18	SLC38A1	4	2	13
18	DIP2C	4	2	13
18	FBN1	210	182	242
18	QSER1	0	0	8
18	NR4A1	0	0	6
18	COL7A1	25	16	40
18	LYST	7	3	18
18	CASC5	12	6	26
18	THBS1	852	802	895
18	SIPA1L3	8	4	19
18	NUMA1	23	14	40
18	PCNX	2	1	10
18	FYCO1	17	10	31
18	TMOD2	0	0	6
18	GPR107	0	0	5
18	CBL	0	0	7
18	CREBBP	4	2	14
18	CENPF	0	0	6
18	PAPPA	55	41	76
18	KIDINS220	0	0	6
18	ATP11A	2	1	11
18	MYH10	20	12	32
18	HIVEP2	21	12	37
18	MKI67	0	0	5
18	PIEZO1	57	43	78
18	H6PD	23	14	38
18	POLQ	0	0	7
18	AFF4	22	13	39
18	ZFC3H1	24	15	40
18	PDS5A	0	0	7
18	IQGAP1	12	6	22
18	TNC	82	64	104
18	ANKRD52	15	8	27
18	KPNA4	2	1	10
18	FLNA	286	254	322
18	TPR	8	4	19
18	HIVEP1	11	5	23
18	KIAA1147	8	3	22
18	ZC3H13	11	5	22
12	ATP11A	5	2	15
12	SSH1	2	1	10
12	TNRC6A	2	1	10
12	DYNC1H1	61	46	81
12	SIPA1L3	6	3	16
12	HERC2	0	0	7
12	KIAA2018	0	0	6
12	REV3L	0	0	6
12	THBS1	353	322	388
12	FBN1	154	131	182
