cell	feat	expr_map	expr_ci_lower	expr_ci_upper
47	DSEL	14	7	26
47	FBN2	537	493	579
47	POLQ	0	0	7
47	RNF169	2	1	12
47	AGPS	2	1	11
47	DYNC1H1	15	8	27
47	AKAP11	5	2	16
47	MYH10	8	4	17
47	ZC3H13	0	0	6
47	NUMA1	47	32	68
47	SRRM2	146	123	175
47	PDS5A	4	2	14
47	H6PD	35	24	52
47	NR4A1	0	0	6
47	MKI67	2	1	9
47	GPR107	36	25	51
47	VCAN	6	3	15
47	TPR	8	4	19
47	KIAA1462	15	8	26
47	EGFR	29	19	44
47	NOTCH2	30	20	47
47	KIAA1147	0	0	8
47	ANKRD52	2	1	9
47	CASC5	2	1	11
47	LRP1	259	226	296
47	PRPF8	78	61	99
47	ITGA2	18	10	32
47	CHD8	2	1	12
47	KIAA1199	1537	1461	1583
47	UBR2	2	1	13
47	MALAT1	4	2	12
47	LUZP1	5	2	15
47	NUP98	5	2	15
47	NRIP1	4	2	13
47	KIAA2018	2	1	10
47	CBL	7	3	18
47	LYST	0	0	7
47	HERC2	0	0	7
47	LMTK2	5	2	17
47	COL5A1	272	239	309
47	IGF2R	37	26	53
47	ATP11A	30	19	47
47	SMARCA5	2	1	9
47	SVEP1	151	127	180
47	REV3L	4	2	14
47	SIPA1L3	2	1	9
47	MED14	4	2	13
47	CBX5	0	0	5
47	PRKDC	18	10	32
47	SLC7A11	13	7	25
47	FLNC	77	61	98
47	PHIP	0	0	7
47	DNAJC13	8	4	18
47	VPS13A	0	0	6
47	TEAD1	187	162	217
47	FZD4	2	1	11
47	SPTBN1	12	6	22
47	NKTR	0	0	5
47	DIP2C	6	3	17
47	ZKSCAN2	0	0	6
47	USP9X	12	6	24
47	USP24	0	0	7
47	ZFC3H1	4	2	14
47	ROCK2	6	3	14
47	C17orf51	13	7	25
47	PRRC2B	79	62	101
47	TMOD2	0	0	6
47	ARL10	0	0	7
47	AFF4	33	21	51
47	PTPN14	29	19	45
47	CENPF	0	0	6
47	THSD4	0	0	6
47	CACNA1A	4	2	15
47	VPS13D	4	2	15
47	ALPK2	50	36	69
47	HEATR5B	0	0	7
47	FRY	8	3	21
47	GTF3C4	9	4	20
47	FYCO1	2	1	9
47	QSER1	0	0	8
47	AMOTL1	17	10	32
47	MAN1A2	10	4	22
47	SPTAN1	39	28	56
47	ABCA2	9	4	20
47	ALMS1	2	1	10
47	IQGAP1	54	41	72
47	UBR5	0	0	5
47	GTF3C1	19	12	32
47	PIEZO1	11	5	22
47	COL7A1	0	0	6
47	FLNA	26	18	40
47	BRCA2	0	0	7
47	RAB3B	80	62	104
47	THBS1	323	293	356
47	CEP250	2	1	11
47	CREBBP	11	5	23
47	PRKCA	44	31	64
47	C14orf132	13	7	24
47	HIVEP1	9	4	20
47	HIVEP2	0	0	7
47	FBN1	131	110	158
47	FASN	7	3	19
47	TNC	32	22	47
47	KPNA4	18	10	32
47	FOSB	0	0	6
47	DIP2B	15	8	29
47	ASCC3	18	11	32
47	SLC38A1	0	0	6
47	FAM208B	2	1	11
47	PAPPA	220	189	256
47	NF1	14	7	27
47	CKAP5	14	7	26
47	PIK3CA	7	3	18
47	DIEXF	0	0	6
47	DOPEY1	2	1	12
47	TLN1	44	32	62
47	FLNB	14	7	27
47	USP34	0	0	7
47	PLXNA1	29	19	44
47	SON	40	28	57
47	SLC5A3	0	0	6
47	HELZ2	0	0	7
47	DOCK7	9	4	20
47	PCNX	13	7	25
47	SCUBE3	6	3	16
47	TNRC6A	9	4	20
47	STARD9	2	1	11
47	AFAP1	52	37	73
47	SSH1	17	10	31
47	KIDINS220	31	20	48
41	DOCK7	9	4	20
41	DSEL	0	0	6
41	PAPPA	164	138	196
41	COL7A1	0	0	6
41	CEP250	7	3	18
41	RAB3B	18	10	32
41	EGFR	4	2	13
41	MED14	9	4	20
41	PRKCA	34	23	52
41	FBN1	28	19	43
41	FRY	5	2	17
41	VPS13A	0	0	6
41	RNF169	0	0	7
41	REV3L	11	6	24
41	TMOD2	0	0	6
41	AMOTL1	12	6	26
41	AKAP11	15	8	30
41	GPR107	8	4	18
41	NR4A1	0	0	6
41	KIAA1147	0	0	8
41	CACNA1A	4	2	15
41	CASC5	0	0	7
41	UBR5	6	3	15
41	KIAA1199	27	19	40
41	MAN1A2	5	2	15
41	ITGA2	4	2	13
41	MKI67	0	0	5
41	CBL	2	1	11
41	HELZ2	0	0	7
41	GTF3C4	0	0	6
41	NKTR	0	0	5
41	HEATR5B	2	1	12
41	SMARCA5	8	4	18
41	CBX5	0	0	5
41	PIK3CA	0	0	7
41	FLNA	127	106	152
41	FLNC	46	34	63
41	IGF2R	22	14	36
41	AGPS	0	0	7
41	UBR2	0	0	8
41	CREBBP	16	9	30
41	DOPEY1	2	1	12
41	KIAA1462	64	49	84
41	HIVEP1	2	1	10
41	ALMS1	4	2	14
41	PHIP	0	0	7
41	GTF3C1	19	12	32
41	SRRM2	30	20	45
41	SPTAN1	28	19	43
41	FYCO1	11	5	22
41	SON	6	3	16
41	TNRC6A	4	2	13
41	FBN2	16	9	27
41	CKAP5	28	18	44
41	ABCA2	11	6	24
41	MALAT1	0	0	5
41	CHD8	13	6	28
41	ROCK2	14	8	25
41	STARD9	0	0	7
41	ALPK2	0	0	6
41	ARL10	2	1	11
41	ATP11A	0	0	7
41	H6PD	11	5	23
41	TPR	4	2	13
41	COL5A1	13	7	24
41	DNAJC13	10	5	21
41	SCUBE3	11	5	23
41	PRKDC	27	18	43
41	USP34	5	2	15
41	NRIP1	2	1	9
41	PLXNA1	0	0	6
41	LRP1	24	15	39
41	DIEXF	0	0	6
41	PRRC2B	36	25	52
41	HIVEP2	2	1	12
41	KIDINS220	0	0	6
41	FLNB	9	4	20
41	MYH10	4	2	11
41	VCAN	2	1	9
41	USP9X	4	2	14
41	DIP2B	10	4	22
41	DIP2C	27	18	43
41	IQGAP1	22	14	34
41	SLC5A3	0	0	6
41	PDS5A	7	3	18
41	POLQ	2	1	12
41	TEAD1	34	24	48
41	ZKSCAN2	0	0	6
41	AFAP1	14	7	28
41	FOSB	0	0	6
41	LUZP1	0	0	7
41	PTPN14	22	14	37
41	ASCC3	9	4	20
41	DYNC1H1	68	52	89
41	NUP98	5	2	15
41	ZFC3H1	2	1	11
41	KIAA2018	2	1	10
41	HERC2	19	11	34
41	FZD4	0	0	7
41	ANKRD52	0	0	6
41	KPNA4	18	10	32
41	SLC38A1	0	0	6
41	FAM208B	0	0	7
41	CENPF	0	0	6
41	LMTK2	0	0	8
41	LYST	17	9	32
41	USP24	0	0	7
41	C17orf51	0	0	6
41	PRPF8	38	27	54
41	BRCA2	0	0	7
41	TLN1	80	63	103
41	THSD4	45	32	64
41	NOTCH2	0	0	6
41	QSER1	0	0	8
41	SSH1	4	2	13
41	SPTBN1	56	43	74
41	TNC	0	0	5
41	NUMA1	2	1	12
41	AFF4	0	0	7
41	VPS13D	9	4	21
41	NF1	12	6	24
41	PIEZO1	26	17	41
41	ZC3H13	2	1	10
41	THBS1	14	9	23
41	PCNX	11	5	22
41	C14orf132	26	17	40
41	SIPA1L3	0	0	6
41	FASN	2	1	11
41	SLC7A11	0	0	6
41	SVEP1	4	2	12
46	MED14	13	7	26
46	VPS13A	0	0	6
46	FLNC	41	30	58
46	ARL10	0	0	7
46	PIK3CA	12	6	25
46	H6PD	28	18	44
46	USP24	2	1	12
46	SVEP1	49	36	68
46	KIAA1462	10	5	21
46	GTF3C4	16	9	29
46	LMTK2	2	1	12
46	TNRC6A	9	4	20
46	AGPS	0	0	7
46	CACNA1A	4	2	15
46	RNF169	0	0	7
46	MAN1A2	0	0	7
46	USP9X	4	2	14
46	PHIP	0	0	7
46	KIDINS220	14	7	27
46	MYH10	42	31	58
46	PRPF8	2	1	9
46	NR4A1	2	1	10
46	LYST	7	3	18
46	NOTCH2	14	7	26
46	USP34	5	2	15
46	SSH1	4	2	13
46	THSD4	0	0	6
46	VPS13D	9	4	21
46	PTPN14	45	32	64
46	TLN1	69	53	91
46	AMOTL1	71	53	97
46	TMOD2	0	0	6
46	CKAP5	9	4	20
46	EGFR	13	7	25
46	MALAT1	4	2	12
46	FYCO1	15	8	28
46	DYNC1H1	10	5	21
46	PRKCA	42	29	61
46	FBN2	38	27	53
46	SLC5A3	2	1	10
46	DIEXF	9	4	19
46	STARD9	20	11	35
46	QSER1	0	0	8
46	KIAA1199	267	238	301
46	CEP250	4	2	15
46	ALMS1	4	2	14
46	FOSB	0	0	6
46	ZFC3H1	27	17	43
46	NKTR	0	0	5
46	ABCA2	4	2	14
46	RAB3B	4	2	13
46	FLNA	122	102	148
46	BRCA2	0	0	7
46	HELZ2	0	0	7
46	CREBBP	16	9	30
46	HIVEP1	4	2	13
46	CBL	7	3	18
46	DOCK7	23	14	38
46	HIVEP2	5	2	16
46	IQGAP1	40	29	56
46	DIP2B	2	1	11
46	FRY	30	19	50
46	ALPK2	34	23	50
46	TNC	17	10	29
46	SLC7A11	9	4	19
46	LUZP1	13	6	26
46	ZKSCAN2	0	0	6
46	MKI67	2	1	9
46	PDS5A	2	1	11
46	SMARCA5	6	3	15
46	FZD4	0	0	7
46	SPTAN1	39	28	56
46	KPNA4	13	7	26
46	CHD8	5	2	16
46	CASC5	0	0	7
46	COL5A1	112	91	138
46	CENPF	0	0	6
46	C17orf51	2	1	9
46	SON	13	7	25
46	FASN	2	1	11
46	COL7A1	4	2	13
46	UBR5	2	1	9
46	SIPA1L3	2	1	9
46	ASCC3	14	7	26
46	UBR2	0	0	8
46	DSEL	2	1	10
46	PAPPA	53	39	73
46	VCAN	0	0	5
46	POLQ	0	0	7
46	ITGA2	0	0	6
46	NUMA1	18	10	33
46	ATP11A	2	1	11
46	AKAP11	21	12	37
46	PRRC2B	25	17	40
46	PRKDC	18	10	32
46	TPR	6	3	16
46	HERC2	0	0	7
46	SPTBN1	18	11	29
46	HEATR5B	5	2	16
46	GPR107	4	2	12
46	SLC38A1	0	0	6
46	KIAA1147	2	1	14
46	FAM208B	14	7	28
46	SRRM2	30	20	45
46	DNAJC13	2	1	9
46	GTF3C1	4	2	12
46	LRP1	99	79	124
46	IGF2R	31	21	46
46	NUP98	12	6	25
46	TEAD1	48	36	65
46	SCUBE3	22	14	37
46	NF1	26	16	42
46	THBS1	278	250	309
46	NRIP1	4	2	13
46	DOPEY1	7	3	19
46	C14orf132	23	15	38
46	AFF4	20	11	36
46	PCNX	13	7	25
46	PIEZO1	0	0	6
46	ROCK2	10	5	20
46	ZC3H13	11	5	22
46	REV3L	14	7	27
46	ANKRD52	2	1	9
46	FBN1	45	33	62
46	KIAA2018	4	2	14
46	PLXNA1	27	17	42
46	AFAP1	12	6	25
46	FLNB	2	1	10
46	DIP2C	9	4	20
46	CBX5	2	1	9
17	CKAP5	14	7	26
17	SCUBE3	18	10	31
17	KIAA1147	0	0	8
17	PDS5A	22	13	37
17	ABCA2	0	0	6
17	SIPA1L3	2	1	9
17	TLN1	131	109	160
17	CHD8	10	4	24
17	PIK3CA	0	0	7
17	CEP250	7	3	18
17	HERC2	4	2	14
17	FOSB	0	0	6
17	KIAA1462	10	5	21
17	FRY	2	1	13
17	AKAP11	18	10	33
17	RAB3B	20	12	34
17	SLC5A3	7	3	18
17	NUMA1	55	39	78
17	FYCO1	8	4	19
17	SPTBN1	34	24	49
17	FLNB	26	16	41
17	FAM208B	2	1	11
17	PCNX	13	7	25
17	MALAT1	10	5	21
17	ARL10	5	2	15
17	GPR107	12	7	23
17	SLC38A1	2	1	9
17	DOCK7	11	5	23
17	SLC7A11	0	0	6
17	TNC	455	412	497
17	VPS13D	17	9	31
17	MYH10	50	37	67
17	PLXNA1	13	7	25
17	THSD4	52	38	72
17	DNAJC13	2	1	9
17	COL5A1	176	149	207
17	MKI67	0	0	5
17	MED14	2	1	10
17	SVEP1	99	80	123
17	FBN2	70	55	90
17	AMOTL1	17	10	32
17	RNF169	2	1	12
17	DIP2C	11	5	23
17	TEAD1	50	38	67
17	ATP11A	12	6	25
17	GTF3C4	4	2	14
17	TNRC6A	9	4	20
17	TMOD2	0	0	6
17	SRRM2	38	27	55
17	ASCC3	23	14	38
17	CREBBP	2	1	10
17	USP34	2	1	11
17	PHIP	0	0	7
17	PRPF8	86	69	109
17	PTPN14	15	9	28
17	KIDINS220	0	0	6
17	AFAP1	22	13	37
17	FZD4	32	21	50
17	SPTAN1	46	33	64
17	C17orf51	0	0	6
17	KPNA4	6	3	17
17	POLQ	0	0	7
17	VCAN	2	1	9
17	CENPF	2	1	10
17	KIAA2018	0	0	6
17	UBR5	0	0	5
17	REV3L	2	1	10
17	DIP2B	10	4	22
17	MAN1A2	7	3	19
17	DIEXF	2	1	10
17	LYST	2	1	11
17	SMARCA5	4	2	12
17	GTF3C1	17	10	29
17	THBS1	379	346	414
17	PIEZO1	6	3	16
17	ITGA2	4	2	13
17	SSH1	8	4	19
17	CBX5	10	5	20
17	NR4A1	0	0	6
17	FLNC	77	61	98
17	HIVEP1	0	0	6
17	COL7A1	6	3	17
17	UBR2	2	1	13
17	C14orf132	21	13	35
17	KIAA1199	185	160	214
17	PRKCA	42	29	61
17	ZC3H13	9	4	19
17	AGPS	0	0	7
17	HEATR5B	0	0	7
17	NKTR	6	3	15
17	PAPPA	58	43	78
17	CACNA1A	0	0	7
17	FLNA	264	233	299
17	DSEL	4	2	14
17	HIVEP2	2	1	12
17	ALMS1	4	2	14
17	LUZP1	2	1	12
17	NUP98	25	15	41
17	STARD9	0	0	7
17	LMTK2	2	1	12
17	ZKSCAN2	7	3	17
17	EGFR	4	2	13
17	NOTCH2	9	4	20
17	ANKRD52	4	2	12
17	H6PD	25	16	41
17	QSER1	5	2	17
17	HELZ2	7	3	18
17	DYNC1H1	32	22	48
17	SON	49	35	67
17	IQGAP1	30	21	44
17	NRIP1	2	1	9
17	FASN	22	13	38
17	AFF4	22	13	39
17	TPR	2	1	9
17	CASC5	2	1	11
17	USP24	0	0	7
17	CBL	12	6	25
17	PRRC2B	30	20	45
17	VPS13A	0	0	6
17	ZFC3H1	4	2	14
17	PRKDC	11	5	23
17	NF1	38	26	57
17	FBN1	123	103	149
17	DOPEY1	5	2	16
17	LRP1	128	105	156
17	BRCA2	2	1	12
17	ROCK2	2	1	8
17	ALPK2	29	19	45
17	IGF2R	18	11	31
17	USP9X	16	9	30
23	MKI67	0	0	5
23	RNF169	26	16	44
23	PRRC2B	68	53	89
23	NOTCH2	42	29	61
23	NF1	48	34	68
23	FASN	15	8	29
23	FYCO1	6	3	16
23	UBR2	25	14	43
23	SIPA1L3	8	4	19
23	NRIP1	6	3	16
23	SSH1	11	5	22
23	TLN1	145	121	175
23	USP34	2	1	11
23	SPTAN1	121	99	148
23	GPR107	27	18	41
23	MED14	4	2	13
23	FLNA	295	262	331
23	ATP11A	47	33	68
23	PTPN14	70	54	92
23	SRRM2	162	137	192
23	LRP1	322	285	361
23	LMTK2	0	0	8
23	KIAA2018	4	2	14
23	ARL10	12	6	25
23	AMOTL1	53	38	76
23	HIVEP2	7	3	20
23	ASCC3	56	41	77
23	DIEXF	0	0	6
23	EGFR	76	59	99
23	DSEL	14	7	26
23	SON	40	28	57
23	CHD8	19	10	35
23	TPR	4	2	13
23	PRKDC	11	5	23
23	FZD4	0	0	7
23	DOPEY1	13	6	26
23	SCUBE3	2	1	10
23	HELZ2	0	0	7
23	CACNA1A	4	2	15
23	SMARCA5	0	0	5
23	PCNX	18	10	31
23	ZFC3H1	9	4	21
23	AGPS	0	0	7
23	VPS13A	0	0	6
23	PLXNA1	20	12	33
23	LYST	5	2	15
23	SLC38A1	6	3	16
23	MYH10	24	16	36
23	DIP2B	0	0	7
23	ABCA2	2	1	10
23	ALMS1	11	5	23
23	TEAD1	6	3	14
23	PRPF8	93	75	116
23	FLNC	159	135	188
23	FAM208B	12	6	24
23	NKTR	21	13	35
23	FRY	0	0	8
23	SLC7A11	6	3	16
23	DOCK7	13	7	26
23	IGF2R	45	33	62
23	ANKRD52	2	1	9
23	BRCA2	5	2	15
23	AFF4	45	32	66
23	HEATR5B	28	18	46
23	PDS5A	12	6	24
23	TNRC6A	13	7	26
23	VCAN	2	1	9
23	DNAJC13	19	12	32
23	CEP250	12	6	25
23	PIK3CA	4	2	14
23	KIAA1147	14	7	30
23	C17orf51	20	12	33
23	FBN1	109	90	133
23	KPNA4	6	3	17
23	SPTBN1	14	8	24
23	HIVEP1	18	10	32
23	THSD4	50	36	70
23	PHIP	7	3	19
23	AKAP11	23	14	40
23	SLC5A3	24	14	39
23	THBS1	124	106	146
23	COL7A1	6	3	17
23	POLQ	0	0	7
23	ROCK2	6	3	14
23	CBX5	2	1	9
23	GTF3C4	2	1	10
23	TNC	239	209	274
23	LUZP1	0	0	7
23	COL5A1	125	103	152
23	MALAT1	12	7	24
23	KIAA1462	154	130	184
23	ZKSCAN2	4	2	14
23	RAB3B	16	9	29
23	IQGAP1	46	34	63
23	PIEZO1	4	2	13
23	NR4A1	0	0	6
23	QSER1	8	3	21
23	DIP2C	16	9	29
23	FLNB	0	0	6
23	PRKCA	34	23	52
23	ITGA2	147	121	177
23	HERC2	12	6	25
23	VPS13D	37	25	55
23	SVEP1	49	36	68
23	TMOD2	7	3	17
23	AFAP1	17	9	31
23	DYNC1H1	87	69	111
23	PAPPA	250	217	287
23	GTF3C1	10	5	21
23	NUP98	17	9	32
23	STARD9	20	11	35
23	CASC5	10	4	23
23	CENPF	6	3	16
23	UBR5	4	2	12
23	C14orf132	32	22	48
23	KIDINS220	21	13	36
23	KIAA1199	7	4	16
23	ALPK2	0	0	6
23	NUMA1	62	45	87
23	USP24	21	12	37
23	REV3L	9	4	21
23	H6PD	40	27	58
23	FBN2	4	2	11
23	CBL	14	7	28
23	CREBBP	16	9	30
23	CKAP5	52	37	72
23	ZC3H13	22	14	36
23	USP9X	4	2	14
23	MAN1A2	2	1	11
23	FOSB	0	0	6
29	TMOD2	0	0	6
29	LRP1	284	249	322
29	HERC2	9	4	21
29	RNF169	21	12	38
29	KIAA2018	0	0	6
29	AFF4	15	8	29
29	PCNX	27	17	42
29	TNRC6A	32	21	49
29	CENPF	2	1	10
29	CEP250	17	9	31
29	DOCK7	16	9	29
29	POLQ	0	0	7
29	ALPK2	20	12	34
29	DSEL	9	4	20
29	SVEP1	73	57	95
29	MALAT1	32	22	48
29	ITGA2	18	10	32
29	ALMS1	2	1	10
29	NUP98	15	8	28
29	SCUBE3	6	3	16
29	VPS13D	22	13	37
29	SRRM2	97	78	121
29	ASCC3	11	5	23
29	EGFR	33	23	50
29	CACNA1A	17	9	31
29	FASN	0	0	7
29	CKAP5	35	24	53
29	STARD9	0	0	7
29	AKAP11	0	0	7
29	SLC38A1	8	4	19
29	ATP11A	10	4	22
29	RAB3B	73	56	96
29	CBL	14	7	28
29	PLXNA1	36	24	52
29	KPNA4	6	3	17
29	IQGAP1	18	11	30
29	TPR	4	2	13
29	CREBBP	11	5	23
29	HIVEP1	4	2	13
29	DNAJC13	10	5	21
29	THSD4	38	27	56
29	PRKCA	49	35	70
29	NUMA1	102	79	131
29	COL5A1	44	31	61
29	PIEZO1	0	0	6
29	PDS5A	12	6	24
29	USP34	0	0	7
29	PRPF8	27	18	41
29	HELZ2	2	1	11
29	AMOTL1	28	17	45
29	GTF3C4	2	1	10
29	LYST	0	0	7
29	PAPPA	257	223	295
29	HEATR5B	10	4	23
29	PIK3CA	2	1	11
29	REV3L	14	7	27
29	PHIP	5	2	16
29	C14orf132	32	22	48
29	NKTR	6	3	15
29	SON	15	8	28
29	BRCA2	0	0	7
29	QSER1	22	12	40
29	KIDINS220	2	1	10
29	CBX5	2	1	9
29	FLNB	4	2	14
29	UBR2	0	0	8
29	KIAA1462	25	16	40
29	NOTCH2	46	33	66
29	MKI67	2	1	9
29	SLC7A11	22	14	37
29	FBN1	187	161	218
29	TNC	71	55	92
29	USP9X	26	16	42
29	AFAP1	7	3	18
29	HIVEP2	18	10	34
29	PRKDC	11	5	23
29	GPR107	33	23	49
29	THBS1	947	894	991
29	SMARCA5	0	0	5
29	DIP2C	27	18	43
29	CASC5	10	4	23
29	KIAA1147	0	0	8
29	COL7A1	0	0	6
29	MAN1A2	22	13	39
29	USP24	29	18	47
29	TEAD1	18	11	29
29	FBN2	418	380	458
29	FYCO1	24	15	39
29	FOSB	2	1	9
29	IGF2R	175	150	205
29	VCAN	2	1	9
29	ZC3H13	4	2	13
29	FAM208B	4	2	14
29	PTPN14	36	25	53
29	LUZP1	2	1	12
29	ZFC3H1	12	6	25
29	SLC5A3	173	145	207
29	C17orf51	0	0	6
29	H6PD	23	14	38
29	ARL10	7	3	19
29	FLNA	506	462	548
29	MED14	11	5	23
29	ROCK2	4	2	11
29	AGPS	0	0	7
29	MYH10	14	8	24
29	DYNC1H1	35	24	51
29	VPS13A	0	0	6
29	DIP2B	7	3	19
29	FLNC	83	66	105
29	GTF3C1	15	8	27
29	TLN1	89	71	113
29	SSH1	6	3	16
29	SIPA1L3	2	1	9
29	ABCA2	33	22	50
29	NR4A1	0	0	6
29	ZKSCAN2	2	1	10
29	SPTBN1	24	16	37
29	NF1	4	2	14
29	KIAA1199	323	290	359
29	SPTAN1	30	20	46
29	DOPEY1	7	3	19
29	PRRC2B	27	18	42
29	UBR5	6	3	15
29	FZD4	7	3	18
29	LMTK2	5	2	17
29	NRIP1	15	8	27
29	FRY	22	12	39
29	ANKRD52	0	0	6
29	CHD8	16	8	31
29	DIEXF	9	4	19
21	DIP2C	51	37	71
21	ABCA2	23	14	39
21	SPTBN1	34	24	49
21	KPNA4	6	3	17
21	LYST	7	3	18
21	HEATR5B	28	18	46
21	AKAP11	10	4	23
21	DSEL	11	5	23
21	GTF3C4	2	1	10
21	KIAA1199	106	88	129
21	ALMS1	4	2	14
