cell	feat	expr_map	expr_ci_lower	expr_ci_upper
58	MALAT1	0	0	6
58	C17orf51	0	0	7
58	AFF4	17	9	31
58	TLN1	69	55	88
58	VCAN	6	3	15
58	PAPPA	32	22	47
58	AFAP1	2	1	12
58	KPNA4	2	1	12
58	HERC2	0	0	7
58	PDS5A	7	3	19
58	PIK3CA	0	0	8
58	LYST	0	0	8
58	NKTR	0	0	7
58	CENPF	0	0	7
58	MKI67	0	0	7
58	DYNC1H1	26	16	44
58	TNRC6A	0	0	7
58	SLC7A11	0	0	5
58	DNAJC13	7	3	19
58	FAM208B	2	1	11
58	USP24	0	0	8
58	UBR5	6	3	14
58	CREBBP	10	4	24
58	HIVEP1	0	0	8
58	CASC5	0	0	7
58	KIAA1462	28	19	42
58	MED14	0	0	7
58	SIPA1L3	2	1	14
58	POLQ	0	0	9
58	NR4A1	0	0	6
58	QSER1	0	0	9
58	ZFC3H1	0	0	8
58	PCNX	0	0	7
58	FLNC	12	6	23
58	NOTCH2	0	0	7
58	USP34	0	0	8
58	AMOTL1	5	2	15
58	CBX5	0	0	5
58	SCUBE3	0	0	7
58	TEAD1	50	37	69
58	SSH1	2	1	12
58	FLNA	189	165	218
58	KIAA1147	0	0	8
58	ALMS1	0	0	6
58	IGF2R	12	6	22
58	ROCK2	6	3	15
58	NUP98	0	0	7
58	NRIP1	2	1	12
58	SRRM2	18	11	30
58	SLC38A1	10	5	19
58	FBN1	15	8	27
58	H6PD	5	2	17
58	TPR	15	8	30
58	KIAA1199	24	15	38
58	CHD8	0	0	7
58	DSEL	2	1	11
58	GPR107	4	2	12
58	LRP1	11	5	23
58	USP9X	11	5	23
58	VPS13A	0	0	7
58	LUZP1	13	6	27
58	SON	0	0	5
58	SVEP1	6	3	15
58	ZKSCAN2	0	0	8
58	THSD4	0	0	7
58	ITGA2	0	0	7
58	COL7A1	0	0	7
58	PIEZO1	2	1	10
58	AGPS	0	0	9
58	PRPF8	30	20	46
58	STARD9	0	0	8
58	PHIP	0	0	8
58	ZC3H13	2	1	12
58	THBS1	442	410	476
58	DIEXF	0	0	8
58	HEATR5B	0	0	8
58	GTF3C1	2	1	11
58	GTF3C4	0	0	8
58	FYCO1	2	1	10
58	CKAP5	0	0	5
58	FLNB	10	4	22
58	VPS13D	10	4	22
58	SPTAN1	14	7	26
58	LMTK2	2	1	12
58	PRKCA	4	2	14
58	EGFR	0	0	8
58	NF1	2	1	12
58	KIAA2018	0	0	7
58	PLXNA1	0	0	8
58	TMOD2	0	0	7
58	C14orf132	0	0	7
58	CACNA1A	2	1	12
58	PRRC2B	13	7	25
58	FOSB	0	0	6
58	NUMA1	0	0	6
58	HIVEP2	5	2	18
58	ABCA2	0	0	6
58	FASN	2	1	12
58	KIDINS220	2	1	12
58	ALPK2	2	1	11
58	DOCK7	0	0	7
58	AKAP11	0	0	9
58	CBL	0	0	8
58	FZD4	0	0	7
58	PTPN14	19	11	34
58	COL5A1	10	5	19
58	MAN1A2	0	0	7
58	HELZ2	0	0	7
58	RAB3B	0	0	6
58	ATP11A	0	0	8
58	DOPEY1	0	0	8
58	FRY	3	1	14
58	DIP2B	0	0	7
58	SLC5A3	0	0	9
58	TNC	16	9	29
58	CEP250	0	0	8
58	ARL10	0	0	7
58	FBN2	51	38	70
58	REV3L	7	3	19
58	BRCA2	0	0	8
58	RNF169	0	0	8
58	ASCC3	2	1	10
58	IQGAP1	27	18	41
58	MYH10	28	19	42
58	UBR2	0	0	8
58	PRKDC	0	0	7
58	DIP2C	11	5	25
58	ANKRD52	2	1	12
58	SMARCA5	24	16	37
58	SPTBN1	4	2	12
20	FASN	0	0	8
20	MYH10	4	2	11
20	PHIP	0	0	8
20	UBR2	0	0	8
20	USP34	2	1	12
20	SIPA1L3	0	0	8
20	HIVEP2	2	1	14
20	C14orf132	0	0	7
20	COL7A1	0	0	7
20	DYNC1H1	34	22	53
20	RNF169	0	0	8
20	ZC3H13	8	3	20
20	PRKCA	4	2	14
20	COL5A1	130	110	156
