cell	feat	expr_map	expr_ci_lower	expr_ci_upper
40	NUP98	2	1	11
40	KPNA4	0	0	8
40	RNF169	0	0	8
40	NRIP1	0	0	7
40	PRKCA	0	0	7
40	AFAP1	24	14	42
40	ALMS1	0	0	6
40	FYCO1	4	2	14
40	FOSB	0	0	6
40	UBR2	2	1	13
40	QSER1	0	0	9
40	PIK3CA	0	0	8
40	LYST	0	0	8
40	TMOD2	0	0	7
40	SPTAN1	58	43	80
40	LMTK2	2	1	12
40	VPS13D	5	2	15
40	SCUBE3	0	0	7
40	SLC7A11	2	1	9
40	MED14	2	1	11
40	VCAN	160	136	189
40	AMOTL1	7	3	19
40	PRKDC	46	32	67
40	ZFC3H1	2	1	13
40	HERC2	9	4	21
40	POLQ	0	0	9
40	SSH1	2	1	12
40	FLNA	178	154	205
40	HIVEP2	0	0	9
40	CKAP5	6	3	14
40	SLC5A3	0	0	9
40	COL7A1	220	187	258
40	FAM208B	2	1	11
40	COL5A1	823	768	867
40	MALAT1	0	0	6
40	IQGAP1	6	3	15
40	UBR5	12	6	22
40	FASN	8	3	20
40	STARD9	0	0	8
40	THBS1	1136	1084	1180
40	DOPEY1	0	0	8
40	CACNA1A	0	0	8
40	USP24	0	0	8
40	PIEZO1	6	3	16
40	NUMA1	2	1	11
40	DYNC1H1	87	66	115
40	DIP2C	28	17	47
40	ATP11A	8	3	21
40	CASC5	0	0	7
40	KIAA2018	0	0	7
40	C14orf132	2	1	11
40	TPR	0	0	7
40	HIVEP1	0	0	8
40	PRRC2B	42	30	59
40	RAB3B	0	0	6
40	ZKSCAN2	2	1	12
40	CBX5	0	0	5
40	FLNC	12	6	23
40	KIDINS220	8	3	20
40	PAPPA	486	442	528
40	SON	5	3	14
40	CEP250	0	0	8
40	NR4A1	0	0	6
40	DNAJC13	5	2	15
40	AGPS	0	0	9
40	LUZP1	0	0	7
40	PRPF8	39	28	56
40	CBL	5	2	18
40	TEAD1	0	0	6
40	NOTCH2	0	0	7
40	DIP2B	0	0	7
40	CREBBP	8	3	20
40	IGF2R	159	136	187
40	TNRC6A	0	0	7
40	PDS5A	2	1	12
40	DSEL	4	2	15
40	PLXNA1	2	1	12
40	KIAA1147	0	0	8
40	SIPA1L3	0	0	8
40	THSD4	5	2	15
40	DIEXF	5	2	17
40	SPTBN1	21	13	35
40	KIAA1462	2	1	8
40	FBN1	251	219	287
40	FBN2	227	197	261
40	ARL10	0	0	7
40	PCNX	7	3	19
40	ABCA2	7	3	17
40	GTF3C1	7	3	18
40	SMARCA5	8	4	17
40	NKTR	0	0	7
40	REV3L	0	0	7
40	HELZ2	0	0	7
40	C17orf51	2	1	11
40	SVEP1	4	2	12
40	NF1	7	3	20
40	SLC38A1	0	0	5
40	ALPK2	2	1	11
40	TNC	9	4	20
40	PHIP	0	0	8
40	MYH10	14	8	25
40	KIAA1199	4	2	13
40	SRRM2	29	19	43
40	FLNB	0	0	7
40	GPR107	8	4	18
40	AKAP11	0	0	9
40	ROCK2	41	29	58
40	MKI67	0	0	7
40	DOCK7	2	1	12
40	HEATR5B	0	0	8
40	CHD8	0	0	7
40	AFF4	14	7	28
40	ANKRD52	5	2	16
40	PTPN14	0	0	7
40	EGFR	0	0	8
40	ASCC3	0	0	6
40	TLN1	59	46	77
40	GTF3C4	0	0	8
40	VPS13A	0	0	7
40	MAN1A2	10	4	23
40	LRP1	259	225	296
40	BRCA2	2	1	13
40	ITGA2	0	0	7
40	FRY	0	0	9
40	USP9X	0	0	6
40	H6PD	30	18	49
40	FZD4	0	0	7
40	USP34	2	1	12
40	ZC3H13	0	0	8
40	CENPF	0	0	7
46	PTPN14	51	37	72
46	CBX5	0	0	5
46	C14orf132	2	1	11
46	VPS13D	35	23	54
46	PLXNA1	19	10	35
46	BRCA2	0	0	8
46	HIVEP1	2	1	13
46	ZFC3H1	19	10	36
46	MED14	0	0	7
46	NR4A1	0	0	6
46	AKAP11	0	0	9
46	SVEP1	114	93	140
46	CENPF	2	1	12
46	PCNX	20	11	36
46	FZD4	0	0	7
46	EGFR	11	5	26
46	MYH10	42	31	59
46	ALMS1	0	0	6
46	ATP11A	25	15	43
46	HEATR5B	0	0	8
46	NKTR	0	0	7
46	NUP98	2	1	11
46	FYCO1	18	11	33
46	DYNC1H1	100	78	130
46	ALPK2	9	4	22
46	REV3L	0	0	7
46	DOCK7	2	1	12
46	DNAJC13	12	6	25
46	TNC	439	393	481
46	PIK3CA	2	1	12
46	HIVEP2	0	0	9
46	GTF3C4	0	0	8
46	KIAA2018	36	24	55
