cell	feat	expr_map	expr_ci_lower	expr_ci_upper
49	SSH1	0	0	7
49	FASN	5	2	16
49	ZC3H13	0	0	8
49	SLC38A1	0	0	5
49	UBR5	6	3	14
49	GTF3C1	2	1	11
49	THSD4	0	0	7
49	POLQ	0	0	9
49	COL7A1	0	0	7
49	LRP1	0	0	6
49	CEP250	2	1	12
49	NR4A1	0	0	6
49	LMTK2	5	2	16
49	ABCA2	0	0	6
49	HELZ2	0	0	7
49	CASC5	0	0	7
49	CACNA1A	0	0	8
49	KIDINS220	0	0	8
49	FRY	0	0	9
49	CREBBP	5	2	16
49	FBN1	4	2	12
49	FLNC	6	3	15
49	GPR107	2	1	9
49	USP24	0	0	8
49	DIP2C	0	0	8
49	DOCK7	0	0	7
49	ZFC3H1	0	0	8
49	DOPEY1	0	0	8
49	SCUBE3	0	0	7
49	DIP2B	0	0	7
49	FLNA	65	51	83
49	TEAD1	8	4	19
49	MAN1A2	2	1	12
49	KPNA4	0	0	8
49	PCNX	0	0	7
49	TPR	31	20	50
49	LUZP1	0	0	7
49	SVEP1	4	2	12
49	TNRC6A	0	0	7
49	THBS1	47	37	60
49	SRRM2	55	42	74
49	EGFR	0	0	8
49	ITGA2	15	8	29
49	MALAT1	0	0	6
49	HIVEP1	0	0	8
49	NUP98	0	0	7
49	PRRC2B	6	3	16
49	MYH10	14	8	25
49	PRKCA	2	1	11
49	REV3L	2	1	12
49	CENPF	13	6	26
49	ARL10	0	0	7
49	IQGAP1	25	16	39
49	FYCO1	2	1	10
49	HIVEP2	0	0	9
49	UBR2	0	0	8
49	TNC	2	1	10
49	SIPA1L3	2	1	14
49	NUMA1	0	0	6
49	DIEXF	0	0	8
49	COL5A1	14	8	24
49	CBL	0	0	8
49	AKAP11	0	0	9
49	PHIP	5	2	16
49	RNF169	0	0	8
49	SLC5A3	0	0	9
49	H6PD	0	0	8
49	FBN2	17	10	29
49	FLNB	0	0	7
49	ZKSCAN2	0	0	8
49	CKAP5	28	19	42
49	FZD4	0	0	7
49	AMOTL1	5	2	15
49	USP9X	4	2	13
49	QSER1	0	0	9
49	VPS13D	0	0	7
49	SON	5	3	14
49	HERC2	2	1	11
49	KIAA2018	0	0	7
49	KIAA1199	0	0	6
49	C14orf132	5	2	15
49	ASCC3	11	5	23
49	DSEL	4	2	15
49	RAB3B	7	3	18
49	PIEZO1	2	1	10
49	PDS5A	13	6	26
49	C17orf51	0	0	7
49	KIAA1462	41	30	57
49	FOSB	0	0	6
49	KIAA1147	0	0	8
49	BRCA2	0	0	8
49	SPTBN1	19	12	32
49	VPS13A	0	0	7
49	LYST	0	0	8
49	ALMS1	0	0	6
49	MKI67	15	8	30
49	HEATR5B	0	0	8
49	ROCK2	2	1	9
49	SPTAN1	11	5	23
49	IGF2R	6	3	14
49	PTPN14	4	2	14
49	SMARCA5	0	0	5
49	VCAN	4	2	12
49	PIK3CA	0	0	8
49	NKTR	0	0	7
49	CHD8	7	3	18
49	AFF4	4	2	14
49	PLXNA1	0	0	8
49	ALPK2	0	0	7
49	NRIP1	0	0	7
49	CBX5	0	0	5
49	DNAJC13	5	2	15
49	USP34	0	0	8
49	TMOD2	0	0	7
49	FAM208B	0	0	7
49	PAPPA	8	4	18
49	DYNC1H1	47	33	69
49	TLN1	15	9	26
49	ANKRD52	15	8	30
49	GTF3C4	0	0	8
49	AFAP1	0	0	8
49	SLC7A11	8	4	18
49	MED14	0	0	7
49	STARD9	0	0	8
49	PRKDC	7	3	19
49	NF1	0	0	7
49	PRPF8	55	41	74
49	AGPS	0	0	9
49	NOTCH2	2	1	12
49	ATP11A	0	0	8
28	VCAN	4	2	12
28	PAPPA	0	0	5
28	ANKRD52	21	12	37
28	FYCO1	9	4	20
28	CBX5	0	0	5
28	ROCK2	6	3	15
28	AFAP1	10	4	24
28	FZD4	0	0	7
28	UBR2	0	0	8
28	COL7A1	5	2	15
28	SLC7A11	2	1	9
28	ALMS1	4	2	13
28	QSER1	0	0	9
28	AGPS	0	0	9
28	USP24	0	0	8
28	HEATR5B	0	0	8
28	SVEP1	15	8	26
28	PDS5A	13	6	26
28	USP34	2	1	12
28	RAB3B	46	32	66
28	MKI67	0	0	7
28	DOPEY1	0	0	8
28	NR4A1	0	0	6
28	BRCA2	0	0	8
28	VPS13A	7	3	19
28	FASN	51	36	74
28	ABCA2	0	0	6
28	FAM208B	9	4	21
28	DNAJC13	22	13	38
28	ARL10	0	0	7
28	FBN2	68	53	89
28	DOCK7	5	2	16
28	KIAA1462	82	65	103
28	TNRC6A	0	0	7
28	FLNA	790	739	834
28	GTF3C4	0	0	8
28	STARD9	0	0	8
28	IQGAP1	95	76	118
28	TEAD1	0	0	6
28	SCUBE3	0	0	7
28	FLNC	144	122	172
28	SRRM2	76	60	97
28	THBS1	21	15	30
28	PIEZO1	2	1	10
28	GTF3C1	53	38	74
28	KIAA1199	0	0	6
28	EGFR	0	0	8
28	DIP2C	0	0	8
28	DSEL	4	2	15
28	UBR5	42	31	58
28	FBN1	65	49	85
28	LMTK2	5	2	16
28	MAN1A2	7	3	19
28	KIAA2018	5	2	15
28	CHD8	2	1	11
28	PRKDC	10	4	22
28	AFF4	22	13	37
28	PCNX	41	27	61
28	FRY	0	0	9
28	HELZ2	5	2	15
28	PRRC2B	11	5	22
28	MALAT1	0	0	6
28	SON	29	20	43
28	CACNA1A	0	0	8
28	PTPN14	22	13	37
28	NKTR	15	8	29
28	AMOTL1	2	1	11
28	SSH1	5	2	16
28	NRIP1	2	1	12
28	ITGA2	0	0	7
28	PHIP	13	6	28
28	PRKCA	37	25	55
28	TPR	44	30	66
28	LUZP1	8	3	20
28	PIK3CA	0	0	8
28	USP9X	6	3	17
28	HERC2	17	9	31
28	DIEXF	2	1	13
28	ATP11A	2	1	13
28	POLQ	0	0	9
28	CASC5	0	0	7
28	AKAP11	0	0	9
28	KPNA4	0	0	8
28	ASCC3	7	3	17
28	CENPF	0	0	7
28	THSD4	0	0	7
28	CREBBP	19	10	35
28	NUMA1	12	6	24
28	KIDINS220	0	0	8
28	ZC3H13	27	16	45
28	CEP250	0	0	8
28	CBL	0	0	8
28	PRPF8	127	105	155
28	CKAP5	10	5	20
28	RNF169	2	1	13
28	ALPK2	4	2	15
28	ZFC3H1	2	1	13
28	GPR107	6	3	15
28	SIPA1L3	8	3	22
28	SPTBN1	45	33	63
28	DIP2B	2	1	11
28	MYH10	6	3	14
28	TMOD2	0	0	7
28	FOSB	2	1	9
28	LRP1	0	0	6
28	NF1	2	1	12
28	MED14	0	0	7
28	TNC	25	16	41
28	NUP98	2	1	11
28	H6PD	8	3	21
28	LYST	8	3	21
28	REV3L	2	1	12
28	FLNB	30	19	48
28	C17orf51	0	0	7
28	KIAA1147	0	0	8
28	SMARCA5	8	4	17
28	SPTAN1	187	159	222
28	SLC38A1	0	0	5
28	HIVEP1	0	0	8
28	IGF2R	20	13	32
28	C14orf132	2	1	11
28	COL5A1	147	124	173
28	PLXNA1	0	0	8
28	DYNC1H1	174	144	210
28	HIVEP2	0	0	9
28	VPS13D	20	11	36
28	ZKSCAN2	2	1	12
28	NOTCH2	0	0	7
28	SLC5A3	0	0	9
28	TLN1	206	180	237
54	KIAA2018	10	4	23
54	PIK3CA	13	6	28
54	DIP2B	30	19	48
54	FBN1	15	8	27
54	SSH1	0	0	7
54	MKI67	117	93	147
54	KIAA1199	86	68	109
54	ZFC3H1	5	2	17
54	PHIP	0	0	8
54	PDS5A	26	15	43
54	ABCA2	7	3	17
54	TNC	58	43	79
54	POLQ	0	0	9
54	ATP11A	0	0	8
54	EGFR	2	1	13
54	CASC5	16	8	31
54	NUP98	5	2	15
54	CREBBP	2	1	12
54	FOSB	0	0	6
54	ZC3H13	16	8	31
54	DOPEY1	0	0	8
54	DIEXF	5	2	17
54	IQGAP1	38	27	54
54	CHD8	12	6	25
54	DIP2C	16	8	33
54	RAB3B	80	61	105
54	C17orf51	22	13	38
54	CBX5	6	3	15
54	KIDINS220	32	20	52
54	AFAP1	2	1	12
54	NR4A1	7	3	17
54	PRPF8	70	54	91
54	SVEP1	6	3	15
54	FLNC	92	74	115
54	SCUBE3	35	22	55
54	SPTBN1	67	51	88
54	PTPN14	26	17	43
54	THBS1	342	314	373
54	NOTCH2	0	0	7
54	TPR	15	8	30
54	KPNA4	0	0	8
54	MAN1A2	7	3	19
54	MYH10	36	26	52
54	ITGA2	10	4	23
54	KIAA1147	11	4	24
54	DOCK7	10	4	24
54	DNAJC13	10	4	22
54	HIVEP1	5	2	17
54	DYNC1H1	140	113	173
54	ARL10	10	4	24
54	QSER1	0	0	9
54	VPS13A	0	0	7
54	SMARCA5	6	3	14
54	MALAT1	62	47	83
54	HEATR5B	19	10	35
54	C14orf132	2	1	11
54	NRIP1	13	6	27
54	VCAN	14	8	25
54	USP34	8	3	20
