feat	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
ABCA2	7.181818181818182	5.12987012987013	3.0779220779220777	2.051948051948052	1.025974025974026	7.181818181818182	3.0779220779220777	5.12987012987013	4.103896103896104	5.12987012987013	11.285714285714286	4.103896103896104	3.0779220779220777	3.0779220779220777	2.051948051948052	0.0	3.0779220779220777	4.103896103896104	3.0779220779220777	0.0	7.181818181818182	4.103896103896104	2.051948051948052	14.363636363636363	9.233766233766234	3.0779220779220777	5.12987012987013	7.181818181818182	5.12987012987013	3.0779220779220777	2.051948051948052	2.051948051948052	9.233766233766234	0.0	0.0	0.0	4.103896103896104	5.12987012987013	3.0779220779220777	8.207792207792208	2.051948051948052
AFAP1	31.805194805194805	1.025974025974026	12.311688311688311	1.025974025974026	5.12987012987013	8.207792207792208	10.25974025974026	42.064935064935064	5.12987012987013	8.207792207792208	45.142857142857146	22.571428571428573	14.363636363636363	42.064935064935064	7.181818181818182	7.181818181818182	14.363636363636363	18.467532467532468	9.233766233766234	23.5974025974026	11.285714285714286	2.051948051948052	5.12987012987013	2.051948051948052	8.207792207792208	23.5974025974026	27.7012987012987	14.363636363636363	7.181818181818182	28.727272727272727	15.38961038961039	20.51948051948052	22.571428571428573	8.207792207792208	1.025974025974026	4.103896103896104	9.233766233766234	25.649350649350648	17.441558441558442	11.285714285714286	8.207792207792208
AFF4	9.233766233766234	12.311688311688311	2.051948051948052	2.051948051948052	3.0779220779220777	1.025974025974026	9.233766233766234	8.207792207792208	1.025974025974026	7.181818181818182	5.12987012987013	2.051948051948052	7.181818181818182	9.233766233766234	0.0	1.025974025974026	1.025974025974026	2.051948051948052	9.233766233766234	1.025974025974026	4.103896103896104	14.363636363636363	5.12987012987013	7.181818181818182	0.0	3.0779220779220777	14.363636363636363	3.0779220779220777	8.207792207792208	7.181818181818182	2.051948051948052	3.0779220779220777	5.12987012987013	5.12987012987013	0.0	2.051948051948052	4.103896103896104	11.285714285714286	11.285714285714286	15.38961038961039	3.0779220779220777
AGPS	7.181818181818182	1.025974025974026	1.025974025974026	0.0	0.0	1.025974025974026	1.025974025974026	2.051948051948052	1.025974025974026	0.0	4.103896103896104	2.051948051948052	0.0	0.0	0.0	1.025974025974026	2.051948051948052	0.0	4.103896103896104	0.0	3.0779220779220777	5.12987012987013	2.051948051948052	2.051948051948052	2.051948051948052	0.0	5.12987012987013	0.0	3.0779220779220777	5.12987012987013	0.0	2.051948051948052	3.0779220779220777	2.051948051948052	0.0	3.0779220779220777	0.0	0.0	3.0779220779220777	15.38961038961039	4.103896103896104
AKAP11	4.103896103896104	1.025974025974026	0.0	0.0	0.0	0.0	0.0	2.051948051948052	0.0	0.0	5.12987012987013	0.0	0.0	6.1558441558441555	0.0	2.051948051948052	0.0	1.025974025974026	2.051948051948052	0.0	0.0	0.0	1.025974025974026	0.0	2.051948051948052	2.051948051948052	2.051948051948052	0.0	5.12987012987013	1.025974025974026	0.0	1.025974025974026	2.051948051948052	0.0	0.0	1.025974025974026	0.0	2.051948051948052	1.025974025974026	5.12987012987013	1.025974025974026
ALMS1	0.0	0.0	3.0779220779220777	0.0	0.0	3.0779220779220777	2.051948051948052	1.025974025974026	2.051948051948052	0.0	5.12987012987013	1.025974025974026	2.051948051948052	1.025974025974026	4.103896103896104	0.0	1.025974025974026	3.0779220779220777	5.12987012987013	3.0779220779220777	0.0	1.025974025974026	0.0	1.025974025974026	1.025974025974026	1.025974025974026	5.12987012987013	1.025974025974026	2.051948051948052	6.1558441558441555	4.103896103896104	3.0779220779220777	4.103896103896104	0.0	0.0	1.025974025974026	3.0779220779220777	1.025974025974026	1.025974025974026	6.1558441558441555	0.0
ALPK2	9.233766233766234	3.0779220779220777	2.051948051948052	1.025974025974026	2.051948051948052	9.233766233766234	1.025974025974026	1.025974025974026	4.103896103896104	8.207792207792208	9.233766233766234	0.0	6.1558441558441555	1.025974025974026	0.0	8.207792207792208	0.0	2.051948051948052	9.233766233766234	5.12987012987013	8.207792207792208	2.051948051948052	4.103896103896104	1.025974025974026	1.025974025974026	2.051948051948052	5.12987012987013	10.25974025974026	10.25974025974026	5.12987012987013	13.337662337662337	2.051948051948052	9.233766233766234	4.103896103896104	0.0	2.051948051948052	2.051948051948052	11.285714285714286	5.12987012987013	2.051948051948052	1.025974025974026
AMOTL1	3.0779220779220777	8.207792207792208	1.025974025974026	7.181818181818182	11.285714285714286	9.233766233766234	3.0779220779220777	8.207792207792208	1.025974025974026	7.181818181818182	5.12987012987013	1.025974025974026	10.25974025974026	17.441558441558442	0.0	7.181818181818182	3.0779220779220777	8.207792207792208	9.233766233766234	8.207792207792208	5.12987012987013	2.051948051948052	3.0779220779220777	5.12987012987013	14.363636363636363	12.311688311688311	14.363636363636363	8.207792207792208	12.311688311688311	11.285714285714286	5.12987012987013	10.25974025974026	24.623376623376622	2.051948051948052	5.12987012987013	5.12987012987013	2.051948051948052	9.233766233766234	5.12987012987013	20.51948051948052	2.051948051948052
ANKRD52	8.207792207792208	0.0	8.207792207792208	1.025974025974026	2.051948051948052	8.207792207792208	7.181818181818182	1.025974025974026	8.207792207792208	4.103896103896104	11.285714285714286	2.051948051948052	5.12987012987013	1.025974025974026	5.12987012987013	8.207792207792208	7.181818181818182	15.38961038961039	15.38961038961039	1.025974025974026	4.103896103896104	1.025974025974026	5.12987012987013	1.025974025974026	14.363636363636363	4.103896103896104	9.233766233766234	8.207792207792208	13.337662337662337	4.103896103896104	10.25974025974026	2.051948051948052	2.051948051948052	1.025974025974026	1.025974025974026	4.103896103896104	2.051948051948052	15.38961038961039	13.337662337662337	1.025974025974026	4.103896103896104
ARL10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.025974025974026	0.0	0.0	0.0	0.0	0.0	4.103896103896104	0.0	0.0	0.0	0.0	2.051948051948052	0.0	0.0	0.0	0.0	0.0	1.025974025974026	0.0	0.0	0.0	0.0	2.051948051948052	0.0	0.0	2.051948051948052	0.0	1.025974025974026	1.025974025974026	0.0	1.025974025974026	2.051948051948052	2.051948051948052	0.0
ASCC3	8.207792207792208	4.103896103896104	11.285714285714286	3.0779220779220777	3.0779220779220777	4.103896103896104	4.103896103896104	8.207792207792208	7.181818181818182	5.12987012987013	5.12987012987013	4.103896103896104	7.181818181818182	17.441558441558442	7.181818181818182	1.025974025974026	1.025974025974026	4.103896103896104	9.233766233766234	1.025974025974026	8.207792207792208	4.103896103896104	7.181818181818182	4.103896103896104	5.12987012987013	11.285714285714286	11.285714285714286	2.051948051948052	9.233766233766234	4.103896103896104	3.0779220779220777	5.12987012987013	3.0779220779220777	5.12987012987013	0.0	3.0779220779220777	7.181818181818182	3.0779220779220777	10.25974025974026	9.233766233766234	5.12987012987013
ATP11A	2.051948051948052	8.207792207792208	5.12987012987013	1.025974025974026	1.025974025974026	4.103896103896104	3.0779220779220777	7.181818181818182	7.181818181818182	0.0	2.051948051948052	2.051948051948052	3.0779220779220777	7.181818181818182	0.0	0.0	3.0779220779220777	4.103896103896104	2.051948051948052	1.025974025974026	12.311688311688311	7.181818181818182	7.181818181818182	3.0779220779220777	2.051948051948052	4.103896103896104	4.103896103896104	2.051948051948052	9.233766233766234	3.0779220779220777	2.051948051948052	1.025974025974026	9.233766233766234	4.103896103896104	2.051948051948052	1.025974025974026	10.25974025974026	1.025974025974026	2.051948051948052	3.0779220779220777	2.051948051948052
BRCA2	2.051948051948052	0.0	3.0779220779220777	0.0	0.0	0.0	0.0	0.0	1.025974025974026	1.025974025974026	1.025974025974026	1.025974025974026	1.025974025974026	3.0779220779220777	0.0	0.0	0.0	0.0	4.103896103896104	0.0	1.025974025974026	4.103896103896104	0.0	1.025974025974026	0.0	0.0	1.025974025974026	0.0	0.0	1.025974025974026	0.0	0.0	2.051948051948052	0.0	0.0	1.025974025974026	2.051948051948052	1.025974025974026	0.0	5.12987012987013	1.025974025974026
C14orf132	14.363636363636363	7.181818181818182	14.363636363636363	1.025974025974026	5.12987012987013	8.207792207792208	4.103896103896104	23.5974025974026	10.25974025974026	10.25974025974026	5.12987012987013	7.181818181818182	17.441558441558442	28.727272727272727	8.207792207792208	3.0779220779220777	0.0	2.051948051948052	9.233766233766234	4.103896103896104	2.051948051948052	10.25974025974026	7.181818181818182	4.103896103896104	3.0779220779220777	25.649350649350648	14.363636363636363	2.051948051948052	8.207792207792208	4.103896103896104	8.207792207792208	4.103896103896104	14.363636363636363	9.233766233766234	4.103896103896104	19.493506493506494	3.0779220779220777	3.0779220779220777	5.12987012987013	9.233766233766234	4.103896103896104
C17orf51	2.051948051948052	1.025974025974026	1.025974025974026	2.051948051948052	1.025974025974026	5.12987012987013	8.207792207792208	2.051948051948052	1.025974025974026	2.051948051948052	1.025974025974026	2.051948051948052	2.051948051948052	3.0779220779220777	0.0	0.0	2.051948051948052	6.1558441558441555	4.103896103896104	4.103896103896104	3.0779220779220777	2.051948051948052	3.0779220779220777	2.051948051948052	3.0779220779220777	2.051948051948052	6.1558441558441555	3.0779220779220777	3.0779220779220777	3.0779220779220777	1.025974025974026	0.0	9.233766233766234	1.025974025974026	1.025974025974026	0.0	3.0779220779220777	2.051948051948052	1.025974025974026	4.103896103896104	5.12987012987013
